"Protons in graphite, I = 81 eV, r = 2.265 g cm-3",,,,,
T,Sel/rho,Snuc/rho,Stot/rho,range,"Detour factor"
,,,,,
0.001,118.5,25.14,143.6,8.186E-06,0.3727
0.0015,145.1,21.06,166.2,1.092E-05,0.4211
0.002,167.6,18.29,185.9,1.331E-05,0.4588
0.003,205.3,14.69,220,1.742E-05,0.5147
0.004,237,12.41,249.4,2.098E-05,0.5557
0.005,265,10.81,275.8,2.421E-05,0.5877
0.006,290.3,9.618,299.9,2.718E-05,0.6136
0.008,335.2,7.943,343.1,3.254E-05,0.6534
0.01,374.8,6.81,381.6,3.739E-05,0.6832
0.015,435.3,5.094,440.4,4.812E-05,0.7343
0.02,481.1,4.115,485.2,5.763E-05,0.7677
0.03,550.3,3.019,553.3,7.457E-05,0.8102
0.04,611,2.411,613.4,8.985E-05,0.8371
0.05,663,2.019,665,0.000104,0.8559
0.06,697.6,1.744,699.3,0.0001175,0.8702
0.08,726.7,1.38,728.1,0.0001433,0.8908
0.1,726.6,1.149,727.7,0.0001688,0.9055
0.15,671.2,0.82,672,0.0002353,0.9298
0.2,598.6,0.6436,599.2,0.0003097,0.9451
0.3,483.3,0.4559,483.7,0.0004928,0.9635
0.4,407.1,0.3561,407.5,0.000719,0.9736
0.5,354.6,0.2937,354.9,0.0009828,0.9797
0.6,315.9,0.2505,316.1,0.001282,0.9836
0.8,262.4,0.1943,262.6,0.00198,0.9884
1,226.1,0.1594,226.3,0.002803,0.991
1.5,171.1,0.1108,171.2,0.005373,0.9941
2,139.4,0.08541,139.5,0.008628,0.9955
3,103.5,0.05901,103.6,0.01706,0.9967
4,83.26,0.04529,83.3,0.02789,0.9972
5,70.1,0.03685,70.14,0.04103,0.9975
6,60.81,0.03112,60.84,0.05638,0.9977
8,48.45,0.0238,48.47,0.09348,0.998
10,40.55,0.01932,40.57,0.1388,0.9981
15,29.25,0.0132,29.26,0.2861,0.9983
20,23.17,0.01006,23.18,0.4796,0.9984
30,16.68,0.006858,16.69,0.996,0.9985
40,13.23,0.005221,13.24,1.674,0.9986
50,11.07,0.004225,11.08,2.504,0.9986
60,9.591,0.003553,9.595,3.477,0.9987
80,7.675,0.002703,7.678,5.826,0.9987
100,6.486,0.002186,6.488,8.673,0.9988
150,4.843,0.001486,4.845,17.73,0.9988
200,3.994,0.00113,3.995,29.17,0.9989
300,3.125,0.0007686,3.126,57.86,0.999
400,2.687,0.0005847,2.688,92.57,0.999
500,2.426,0.000473,2.427,131.9,0.9991
600,2.255,0.0003979,2.256,174.7,0.9991
800,2.05,0.0003029,2.05,268.1,0.9992
1000,1.936,0.0002453,1.936,368.8,0.9993
1500,1.806,0.0001672,1.806,637.8,0.9994
2000,1.76,0.0001275,1.761,918.8,0.9995
3000,1.744,8.71E-05,1.744,1491,0.9995
4000,1.756,6.65E-05,1.756,2063,0.9996
5000,1.775,5.395E-05,1.775,2629,0.9997
6000,1.796,4.548E-05,1.796,3189,0.9997
8000,1.834,3.474E-05,1.834,4291,0.9997
10000,1.868,2.82E-05,1.868,5371,0.9998
